lsoa11,samhi_index.2011,samhi_dec.2011,samhi_index.2012,samhi_dec.2012,samhi_index.2013,samhi_dec.2013,samhi_index.2014,samhi_dec.2014,samhi_index.2015,samhi_dec.2015,samhi_index.2016,samhi_dec.2016,samhi_index.2017,samhi_dec.2017,samhi_index.2018,samhi_dec.2018
E01000108,-0.294504276,7,-0.537176856,5,0.021902824,7,0.115744563,7,0.295032358,7,-0.585812652,3,-0.496067531,3,-0.450837035,2
E01000109,-0.616654848,5,-0.909344961,2,-0.512146574,5,-0.478401491,4,-0.551434505,3,-0.420712474,4,-0.297764579,4,-0.314468368,3
E01000110,-0.166272007,7,-0.830620686,3,-0.955675433,2,-0.868045271,2,-0.646959734,3,-0.421162183,4,-0.294873528,4,-0.161354954,4
E01000111,-0.471682377,6,-0.277761396,6,-0.263001685,6,-0.740352939,3,-0.298360727,5,-0.039281096,6,-0.023100043,6,0.002344211,5
E01000112,-0.658681098,5,-0.8912389,2,-0.597154627,4,-1.02197296,1,-0.715315133,2,-0.841802848,1,-0.496915087,3,-0.263741565,3
E01000113,-0.759906136,4,-0.938797355,2,-1.015976431,1,-0.582783455,4,-0.603144942,3,-0.412920634,4,-0.564925298,3,-0.395404322,3
E01000114,-0.497151564,6,-0.412892515,6,-0.681267843,4,-0.943068527,2,-0.745588894,2,-0.499491395,3,-0.639545787,2,-0.683554969,1
E01000115,-0.732781948,4,-1.114881226,1,-1.287362119,1,-1.216271519,1,-0.91251445,1,-1.348620204,1,-0.878305793,1,-0.517045917,2
E01000116,-1.176247712,1,-1.083049241,1,-1.322559244,1,-0.871186895,2,-0.959318533,1,-0.757484052,2,-0.887105246,1,-0.77910544,1
E01000117,-1.096463629,2,-0.910780476,2,-1.051758871,1,-0.724577183,3,-0.824130354,2,-0.78716483,2,-0.391105375,3,-0.18477246,4
E01000118,-1.140942619,1,-0.697700239,4,-0.929055916,2,-0.989486443,1,-0.832028719,2,-0.883997675,1,-0.712335315,2,-0.477093775,2
E01000119,-1.275420962,1,-1.128469867,1,-1.293437094,1,-1.007870603,1,-1.221448136,1,-0.976703244,1,-1.040670845,1,-0.6235222,2
E01000120,-1.28002283,1,-1.12783908,1,-1.18285989,1,-1.374181327,1,-1.145565721,1,-1.04730018,1,-0.859749217,1,-0.79344745,1
E01000121,2.161627299,10,2.083138019,10,1.938275786,10,1.91202913,10,1.420166311,10,1.20699189,9,0.986805824,9,1.72241801,10
E01000122,-1.199471735,1,-1.286318857,1,-1.296833404,1,-1.131759665,1,-1.015788381,1,-0.982939402,1,-0.58842669,2,-0.4218628,3
E01000123,-1.051159669,2,-0.927631992,2,-0.590558512,4,-0.862077569,2,-0.934850475,1,-0.932775758,1,-0.406806635,3,-0.446185821,2
E01000124,-0.637091304,5,-0.308186062,6,-0.19882137,6,0.491163281,8,-0.166522506,6,-0.267498866,5,-0.509259315,3,-0.287997002,3
E01000125,0.143665548,8,0.06542101,8,-0.366928312,5,-0.290193801,5,-0.245076212,5,-0.497133596,3,-0.221184264,4,-0.218015168,4
E01000126,-0.836075003,4,-0.730006361,4,-0.526414821,5,-0.377318761,5,-0.560896822,3,-0.451431476,4,-0.377574109,4,-0.104345133,4
E01000127,-0.704751653,4,-0.240215499,6,-0.348296324,6,-0.238517498,6,-0.270872971,5,-0.362594275,4,-0.421716851,3,-0.25619229,4
E01000128,-0.92274842,3,-0.713917359,4,-1.026993697,1,-0.75284122,3,-0.569925228,3,-0.673616128,2,-0.988165359,1,-0.720086047,1
E01000129,0.525559002,9,0.337913618,8,0.325942524,8,0.256638872,8,-0.108857579,6,0.288202508,7,0.686985886,8,0.120847704,5
E01000130,-0.795393304,4,-0.422386571,5,-0.622801354,4,-0.619529117,3,-0.634692064,3,-0.345093616,4,-0.646182707,2,-0.118843295,4
E01000131,-0.864052314,3,-0.927313895,2,-0.770424151,3,-0.598962547,4,-0.733606223,2,-0.710046166,2,-0.49792064,3,-0.773216077,1
E01000132,-0.753646869,4,-0.752973695,3,-0.754799573,3,-0.710782463,3,-0.718251016,2,-0.21275374,5,-0.382340651,4,-0.272524275,3
E01000133,-0.186079399,7,0.132434117,8,0.057082771,7,-0.291628678,5,-0.101967285,6,-0.092554284,6,-0.182616776,5,0.292678389,6
E01000134,-0.428431472,6,-0.85543073,3,-0.792572826,3,-0.752852229,3,-0.451068024,4,-0.712511902,2,-0.560284849,3,-0.577020353,2
E01000135,0.15122334,8,-0.12395486,7,-0.39182166,5,0.116206606,7,0.021059888,6,-0.176255897,5,0.186397581,6,0.573813067,7
E01000136,-0.414437618,6,-0.28571683,6,-0.272498745,6,-0.766748131,2,-0.997896845,1,-0.854094252,1,-0.799305625,1,-0.309694295,3
E01000137,-0.27215409,7,0.304519912,8,0.715364264,9,0.327822927,8,0.979674435,9,0.671090525,8,-0.287461532,4,-0.240360362,4
E01000138,-0.866831637,3,-0.696340075,4,-0.794882243,3,-0.572822332,4,-0.669652325,3,-0.615550648,3,-0.48035729,3,-0.542754953,2
E01000139,-1.104739614,2,-1.160684841,1,-1.322728459,1,-0.953795323,1,-0.874534483,2,-0.860800494,1,-0.896681891,1,-0.659752282,1
E01000140,-0.460700032,6,0.403816827,9,-0.816581072,3,-0.908930308,2,-0.914946558,1,-0.917833496,1,-0.868347503,1,-0.426169903,3
E01000141,-0.867044486,3,-0.676573222,4,-0.622953557,4,-0.634590686,3,-0.874219682,2,-0.70642055,2,-0.663022803,2,-0.305802821,3
E01000142,0.01792791,8,0.18150154,8,0.325884102,8,-0.058318296,6,0.113092264,7,0.084998806,6,0.074120803,6,-0.221602642,4
E01000143,-0.494657373,6,-0.385438045,6,-0.341662737,6,-0.027093082,7,-0.548571877,3,-0.454790347,4,-0.225078164,4,0.159968234,6
E01000144,-1.111450032,2,-1.232748201,1,-0.898065902,2,-0.865808809,2,-0.637840915,3,-0.399071666,4,-0.547955681,3,-0.390649328,3
E01000145,-1.186154832,1,-0.789380386,3,-0.969639505,2,-0.90276314,2,-0.778153593,2,-0.804373795,2,-0.733608843,2,-0.576712717,2
E01000146,-1.134477319,1,-0.58502053,5,-0.68894775,3,-0.502477511,4,-0.505539045,4,-0.433478821,4,-0.492397171,3,-0.396089253,3
E01000147,-1.180521284,1,-1.133255147,1,-0.795817812,3,-0.962966899,1,-1.244819527,1,-1.05378902,1,-0.967437503,1,-1.089460306,1
E01000148,-0.735046523,4,-0.145617217,7,-0.501958001,5,-0.549784059,4,-0.585894184,3,-0.875938479,1,-0.733130845,2,-0.47455494,2
E01000150,-1.108061192,2,-0.832978351,3,-0.901706905,2,-0.822417559,2,-0.969282938,1,-0.780398539,2,-0.823092527,1,-0.520978837,2
E01000151,-0.558818389,5,-0.323836626,6,-0.561874404,4,-0.203142674,6,-0.404618252,4,-0.350459288,4,-0.000420157,6,0.306805233,6
E01000152,-0.856978306,3,-0.591050764,4,-0.946504929,2,-0.343841553,5,-0.399450446,4,-0.671908264,2,-0.681681985,2,-0.359320024,3
E01000153,-0.086585131,8,-0.142726152,7,-0.076324896,7,0.05141857,7,-0.142419183,6,-0.002687649,6,-0.018517993,6,0.458704937,7
E01000154,-0.798746588,4,-0.33051422,6,0.173103349,8,-0.140012147,6,-0.107514237,6,-0.520722517,3,-0.003749045,6,-0.203162553,4
E01000155,-0.761313702,4,-0.594257172,4,-0.836505565,2,-0.870765822,2,-1.032671747,1,-1.207049887,1,-1.056608247,1,-1.027746171,1
E01000156,-1.169830647,1,-1.130818095,1,-0.828287645,3,-0.887793765,2,-0.974388947,1,-0.87100838,1,-0.90523825,1,-0.765443664,1
E01000157,-0.751581014,4,-1.00668648,2,-0.407187044,5,-0.415616953,5,-0.77254384,2,-0.724070194,2,-0.695914068,2,-0.110084488,4
E01000158,-0.684785014,5,-0.88736699,2,-0.735317167,3,-0.510927502,4,-0.217148322,5,-0.214333005,5,-0.094375782,5,-0.071218419,5
E01000159,-1.08084092,2,-0.846105862,3,-0.978316321,2,-0.708209138,3,-0.587582731,3,-0.68384088,2,-0.625155431,2,-0.483849717,2
E01000160,-1.014705468,2,-1.205409955,1,-0.981120615,2,-0.985305162,1,-0.738207867,2,-0.710301489,2,-0.82224928,1,-0.423944988,3
E01000161,-0.753746712,4,-0.531746255,5,-0.544892516,4,-0.787766652,2,0.855795148,9,0.642953942,8,0.690760938,8,0.948854764,8
E01000162,0.752743349,10,1.27732265,10,1.249251107,10,1.325956533,10,0.213746293,7,-0.736517046,2,-0.30245189,4,-0.365542803,3
