CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F167,F184,F185,F2340,F2341,F2342,F130016,F130017,F130018,F130019,F130020,F130021,F130022,F130023,F130024,F130025,F130026,F130731,F130732,F130733,F130734,F130735,F130736,F130737,F130738,F130739,F130740,F130800,F130801,F130802,F130803,F130804,F130805,F130806,F130807,F130808,F130809,F131145,F131146,F131147,F131148,F131149,F131150,F131151,F131152,F131153,F131154,F131490,F131491,F131492,F131493,F131494,F131495,F131496,F131497,F131498,F131499,F131904,F131905,F131906,F131907,F131908,F131909,F131910,F131911,F131912,F131913,F132180,F132181,F132182,F132183,F132184,F132185,F132186,F132187,F132188,F132189,F136983,
37342,E01018616,Cheshire East 017B,Lower Super Output Areas and Data Zones,LSOADZ,1320,45.01894,47,1320,638,682,1320,1266,0,17,15,5,1,4,4,5,3,1320,935,8,11,1,14,0,3,273,75,1266,917,7,0,1,2,0,3,263,73,17,8,0,0,0,0,0,0,7,2,29,6,1,11,0,9,0,0,2,0,5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,1207,
37343,E01018617,Cheshire East 017C,Lower Super Output Areas and Data Zones,LSOADZ,1437,45.48643,47,1437,708,729,1437,1420,0,3,3,3,0,3,2,0,3,1437,999,6,3,3,4,0,8,329,85,1420,996,3,0,3,0,0,7,326,85,3,2,0,0,0,0,0,0,1,0,11,0,3,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1413,
37344,E01018618,Cheshire East 015B,Lower Super Output Areas and Data Zones,LSOADZ,1467,35.78119,36,1467,710,757,1467,1333,2,21,37,12,6,19,19,13,5,1467,930,5,22,0,23,0,1,377,109,1335,867,1,0,0,0,0,1,363,103,21,17,0,0,0,0,0,0,2,2,93,32,4,22,0,20,0,0,12,3,13,13,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,1,1467,
37345,E01018619,Cheshire East 015C,Lower Super Output Areas and Data Zones,LSOADZ,1426,38.331,40,1426,691,735,1426,1399,2,9,6,0,0,0,4,6,0,1426,1004,4,4,3,0,4,1,309,97,1401,993,4,0,3,0,2,1,304,94,9,4,0,0,0,0,0,0,2,3,10,2,0,4,0,0,2,0,2,0,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1426,
37346,E01018620,Cheshire East 015D,Lower Super Output Areas and Data Zones,LSOADZ,1432,42.73534,44,1432,702,730,1432,1323,0,17,40,6,10,9,12,12,3,1432,919,7,29,1,25,2,0,352,97,1323,888,4,0,1,1,0,0,337,92,17,7,0,0,0,1,0,0,7,2,77,13,2,29,0,22,2,0,7,2,12,11,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,1355,
37347,E01018621,Cheshire East 015E,Lower Super Output Areas and Data Zones,LSOADZ,1320,41.27576,44,1320,618,702,1320,1291,0,7,2,0,0,7,7,6,0,1320,950,10,3,1,0,0,3,286,67,1291,940,0,0,1,0,0,3,280,67,7,4,0,1,0,0,0,0,2,0,16,2,10,2,0,0,0,0,2,0,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1320,
37348,E01018622,Cheshire East 018A,Lower Super Output Areas and Data Zones,LSOADZ,1325,40.14793,37,1325,640,685,1325,1239,0,13,30,8,0,13,14,4,4,1325,765,4,32,4,4,0,4,413,99,1239,747,1,1,4,0,0,4,393,89,13,5,0,0,0,0,0,0,8,0,65,10,3,29,0,2,0,0,11,10,4,2,0,0,0,1,0,0,1,0,4,1,0,2,0,1,0,0,0,0,1325,
37349,E01018623,Cheshire East 018B,Lower Super Output Areas and Data Zones,LSOADZ,1489,39.43452,39,1489,738,751,1489,1447,0,20,7,3,0,3,4,4,1,1489,970,8,5,1,2,0,4,417,82,1447,948,6,0,1,0,0,3,413,76,20,14,1,0,0,0,0,0,2,3,17,5,1,5,0,2,0,1,1,2,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1489,
37350,E01018624,Cheshire East 018C,Lower Super Output Areas and Data Zones,LSOADZ,1824,35.01316,32,1824,960,864,1824,1619,0,36,55,7,0,23,62,19,3,1824,944,4,43,3,9,7,15,668,131,1619,852,3,0,3,0,0,12,631,118,36,11,0,0,0,1,0,3,14,7,147,62,1,43,0,7,7,0,21,6,19,18,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,1824,
37351,E01018625,Cheshire East 018D,Lower Super Output Areas and Data Zones,LSOADZ,1425,37.48632,35,1425,654,771,1425,1350,0,23,20,1,0,5,16,4,6,1425,853,4,16,3,2,0,5,435,107,1350,819,2,0,3,0,0,4,421,101,23,14,0,0,0,0,0,0,8,1,42,13,2,16,0,2,0,0,6,3,4,3,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,2,1384,
37352,E01018626,Cheshire East 016A,Lower Super Output Areas and Data Zones,LSOADZ,2149,40.31317,39,2149,1049,1100,2149,2092,0,19,22,1,1,5,0,7,2,2149,1359,7,20,1,3,0,11,604,144,2092,1335,7,0,1,0,0,11,596,142,19,12,0,0,0,2,0,0,3,2,29,5,0,20,0,1,0,0,3,0,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2136,
37353,E01018627,Cheshire East 018E,Lower Super Output Areas and Data Zones,LSOADZ,1579,38.69031,37,1579,818,761,1579,1471,0,23,44,3,0,5,13,19,1,1579,890,3,43,1,6,1,7,497,131,1471,851,3,1,1,0,0,7,484,124,23,12,0,0,0,3,0,0,5,3,65,13,0,42,0,3,1,0,3,3,19,14,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,1571,
37354,E01018628,Cheshire East 016B,Lower Super Output Areas and Data Zones,LSOADZ,1590,43.32705,46,1590,786,804,1590,1558,0,11,2,0,0,3,2,12,2,1590,1033,8,2,1,2,0,6,410,128,1558,1015,6,0,1,2,0,6,402,126,11,5,0,0,0,0,0,0,5,1,7,0,2,2,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1590,
37355,E01018629,Cheshire East 016C,Lower Super Output Areas and Data Zones,LSOADZ,1858,38.05705,37,1858,880,978,1858,1761,0,28,28,0,5,19,7,10,0,1858,1219,10,18,2,10,0,5,473,121,1761,1187,2,0,2,0,0,5,447,118,28,15,0,0,0,1,0,0,11,1,59,8,8,18,0,9,0,0,15,1,10,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1858,
37356,E01018630,Cheshire East 016D,Lower Super Output Areas and Data Zones,LSOADZ,1280,43.33047,43,1280,613,667,1280,1249,0,13,0,0,0,3,8,3,4,1280,846,8,1,2,5,0,7,308,103,1249,837,2,1,2,1,0,7,297,102,13,4,0,0,0,1,0,0,7,1,11,1,6,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,1280,
37357,E01018631,Cheshire East 016E,Lower Super Output Areas and Data Zones,LSOADZ,1380,41.49783,42,1380,721,659,1380,1363,0,6,3,0,0,5,0,1,2,1380,892,1,3,0,1,0,5,390,88,1363,887,1,0,0,0,0,5,382,88,6,3,0,0,0,0,0,0,3,0,8,0,0,3,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1380,
37358,E01018632,Cheshire East 017D,Lower Super Output Areas and Data Zones,LSOADZ,1584,40.97664,43,1584,789,795,1584,1536,0,13,6,0,0,9,5,9,6,1584,1099,2,5,2,4,0,5,365,102,1536,1084,1,0,2,0,0,4,344,101,13,4,0,0,0,0,0,0,9,0,20,4,1,5,0,1,0,1,7,1,9,7,0,0,0,1,0,0,1,0,6,0,0,0,0,2,0,0,4,0,1573,
37359,E01018633,Cheshire East 017E,Lower Super Output Areas and Data Zones,LSOADZ,1501,47.63424,50,1501,719,782,1501,1482,0,1,5,2,1,3,0,2,5,1501,1142,1,3,4,6,0,2,260,83,1482,1131,1,0,4,1,0,2,260,83,1,1,0,0,0,0,0,0,0,0,11,4,0,2,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,1465,
37360,E01018634,Cheshire East 019A,Lower Super Output Areas and Data Zones,LSOADZ,1874,42.44611,45,1874,924,950,1874,1827,0,23,8,3,0,6,3,3,1,1874,1308,0,7,8,3,1,10,432,105,1827,1295,0,0,8,0,0,10,413,101,23,11,0,0,0,0,0,0,11,1,20,0,0,7,0,3,1,0,6,3,3,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1874,
37361,E01018635,Cheshire East 018F,Lower Super Output Areas and Data Zones,LSOADZ,1225,42.1502,41,1225,606,619,1225,1183,1,16,11,1,0,4,5,1,3,1225,722,3,3,2,9,0,3,397,86,1184,702,3,0,2,4,0,2,390,81,16,10,0,0,0,1,0,0,4,1,21,10,0,3,0,2,0,1,2,3,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,0,1187,
37362,E01018636,Cheshire East 018G,Lower Super Output Areas and Data Zones,LSOADZ,1421,39.40676,41,1421,682,739,1421,1366,4,16,9,4,0,4,15,2,1,1421,1006,2,5,2,5,0,2,299,100,1370,971,1,0,2,0,0,2,296,98,16,12,0,0,0,1,0,0,2,1,32,21,1,5,0,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1421,
37363,E01018637,Cheshire East 021A,Lower Super Output Areas and Data Zones,LSOADZ,1823,35.92595,35,1823,839,984,1823,1776,0,8,6,6,6,3,4,11,3,1823,1097,3,1,0,14,1,13,519,175,1776,1074,2,0,0,1,0,13,513,173,8,5,0,0,0,0,0,0,2,1,25,8,1,1,0,11,1,0,2,1,11,8,0,0,0,1,0,0,2,0,3,2,0,0,0,1,0,0,0,0,1737,
37364,E01018638,Cheshire East 021B,Lower Super Output Areas and Data Zones,LSOADZ,1585,41.99054,43,1585,753,832,1585,1540,5,23,0,0,0,3,10,3,1,1585,1131,4,0,0,4,0,8,341,97,1545,1112,2,0,0,0,0,7,329,95,23,11,0,0,0,0,0,1,9,2,13,8,2,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1539,
37365,E01018639,Cheshire East 021C,Lower Super Output Areas and Data Zones,LSOADZ,1401,35.53747,34,1401,688,713,1401,1302,2,19,44,12,0,3,14,2,3,1401,806,3,23,0,20,4,7,425,113,1304,775,2,0,0,0,0,6,414,107,19,11,0,0,0,1,0,1,4,2,73,19,1,23,0,16,4,0,6,4,2,1,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,1384,
