CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
37079,E01018351,Cheshire West and Chester 044A,Lower Super Output Areas and Data Zones,LSOADZ,1448,
37080,E01018352,Cheshire West and Chester 044B,Lower Super Output Areas and Data Zones,LSOADZ,1790,
37081,E01018353,Cheshire West and Chester 044C,Lower Super Output Areas and Data Zones,LSOADZ,1575,
37082,E01018354,Cheshire West and Chester 044D,Lower Super Output Areas and Data Zones,LSOADZ,1606,
37083,E01018355,Cheshire West and Chester 047B,Lower Super Output Areas and Data Zones,LSOADZ,1210,
37084,E01018356,Cheshire West and Chester 047C,Lower Super Output Areas and Data Zones,LSOADZ,1474,
37085,E01018357,Cheshire West and Chester 047D,Lower Super Output Areas and Data Zones,LSOADZ,1291,
37086,E01018358,Cheshire West and Chester 022E,Lower Super Output Areas and Data Zones,LSOADZ,1272,
37087,E01018359,Cheshire West and Chester 022F,Lower Super Output Areas and Data Zones,LSOADZ,1081,
37088,E01018360,Cheshire West and Chester 025A,Lower Super Output Areas and Data Zones,LSOADZ,2096,
37089,E01018361,Cheshire West and Chester 033D,Lower Super Output Areas and Data Zones,LSOADZ,1471,
37090,E01018362,Cheshire West and Chester 028A,Lower Super Output Areas and Data Zones,LSOADZ,1516,
37091,E01018363,Cheshire West and Chester 028B,Lower Super Output Areas and Data Zones,LSOADZ,1048,
37092,E01018364,Cheshire West and Chester 027A,Lower Super Output Areas and Data Zones,LSOADZ,1565,
37093,E01018365,Cheshire West and Chester 027B,Lower Super Output Areas and Data Zones,LSOADZ,1860,
37094,E01018366,Cheshire West and Chester 025B,Lower Super Output Areas and Data Zones,LSOADZ,1515,
37095,E01018367,Cheshire West and Chester 025C,Lower Super Output Areas and Data Zones,LSOADZ,1984,
37096,E01018368,Cheshire West and Chester 030C,Lower Super Output Areas and Data Zones,LSOADZ,1377,
37097,E01018369,Cheshire West and Chester 046B,Lower Super Output Areas and Data Zones,LSOADZ,1678,
37098,E01018370,Cheshire West and Chester 030D,Lower Super Output Areas and Data Zones,LSOADZ,1351,
37099,E01018371,Cheshire West and Chester 046C,Lower Super Output Areas and Data Zones,LSOADZ,1807,
37100,E01018372,Cheshire West and Chester 046D,Lower Super Output Areas and Data Zones,LSOADZ,1896,
37101,E01018373,Cheshire West and Chester 047E,Lower Super Output Areas and Data Zones,LSOADZ,1980,
37102,E01018374,Cheshire West and Chester 028C,Lower Super Output Areas and Data Zones,LSOADZ,1894,
37103,E01018375,Cheshire West and Chester 028D,Lower Super Output Areas and Data Zones,LSOADZ,1802,
37104,E01018376,Cheshire West and Chester 028E,Lower Super Output Areas and Data Zones,LSOADZ,1640,
37105,E01018377,Cheshire West and Chester 028F,Lower Super Output Areas and Data Zones,LSOADZ,1647,
37106,E01018378,Cheshire West and Chester 027C,Lower Super Output Areas and Data Zones,LSOADZ,1230,
37107,E01018379,Cheshire West and Chester 027D,Lower Super Output Areas and Data Zones,LSOADZ,1347,
37108,E01018380,Cheshire West and Chester 027E,Lower Super Output Areas and Data Zones,LSOADZ,1176,
37109,E01018381,Cheshire West and Chester 036C,Lower Super Output Areas and Data Zones,LSOADZ,1196,
37110,E01018382,Cheshire West and Chester 036D,Lower Super Output Areas and Data Zones,LSOADZ,1532,
37111,E01018383,Cheshire West and Chester 032D,Lower Super Output Areas and Data Zones,LSOADZ,1531,
37112,E01018384,Cheshire West and Chester 032E,Lower Super Output Areas and Data Zones,LSOADZ,1446,
37113,E01018385,Cheshire West and Chester 039D,Lower Super Output Areas and Data Zones,LSOADZ,2028,
37114,E01018386,Cheshire East 042A,Lower Super Output Areas and Data Zones,LSOADZ,1418,
37115,E01018387,Cheshire East 040A,Lower Super Output Areas and Data Zones,LSOADZ,1684,
37116,E01018388,Cheshire East 040B,Lower Super Output Areas and Data Zones,LSOADZ,1568,
37117,E01018389,Cheshire East 040C,Lower Super Output Areas and Data Zones,LSOADZ,1607,
37118,E01018390,Cheshire East 040D,Lower Super Output Areas and Data Zones,LSOADZ,1666,
37119,E01018391,Cheshire East 042B,Lower Super Output Areas and Data Zones,LSOADZ,1933,
37120,E01018392,Cheshire East 042C,Lower Super Output Areas and Data Zones,LSOADZ,1899,
37121,E01018393,Cheshire East 022A,Lower Super Output Areas and Data Zones,LSOADZ,2047,
37122,E01018394,Cheshire East 033A,Lower Super Output Areas and Data Zones,LSOADZ,2053,
37123,E01018395,Cheshire East 026A,Lower Super Output Areas and Data Zones,LSOADZ,1603,
37124,E01018396,Cheshire East 026B,Lower Super Output Areas and Data Zones,LSOADZ,1482,
37125,E01018397,Cheshire East 028A,Lower Super Output Areas and Data Zones,LSOADZ,1831,
37126,E01018398,Cheshire East 027A,Lower Super Output Areas and Data Zones,LSOADZ,1459,
37127,E01018399,Cheshire East 027B,Lower Super Output Areas and Data Zones,LSOADZ,1501,
37128,E01018400,Cheshire East 026C,Lower Super Output Areas and Data Zones,LSOADZ,2157,
37129,E01018401,Cheshire East 026D,Lower Super Output Areas and Data Zones,LSOADZ,1576,
37130,E01018402,Cheshire East 027C,Lower Super Output Areas and Data Zones,LSOADZ,1910,
37131,E01018403,Cheshire East 027D,Lower Super Output Areas and Data Zones,LSOADZ,1953,
37132,E01018404,Cheshire East 029A,Lower Super Output Areas and Data Zones,LSOADZ,1490,
37133,E01018405,Cheshire East 029B,Lower Super Output Areas and Data Zones,LSOADZ,1397,
37134,E01018406,Cheshire East 029C,Lower Super Output Areas and Data Zones,LSOADZ,1444,
